# Material time functions for all couplings (staging adapter output)
# Criterion: F(k,t) = 0.1, corrected least-squares reconstruction
# Each column pair is (time_ps, xi) for one coupling.
#
t_0_ps xi_0 t_0p01_ps xi_0p01 t_0p016667_ps xi_0p016667 t_0p023333_ps xi_0p023333 t_0p03_ps xi_0p03
1.754670e+02 1.391009e+00 1.755222e+02 1.395542e+00 1.753065e+02 7.054896e-01 1.755582e+02 3.776092e-01 1.755881e+02 1.967399e-01
1.766525e+02 1.399187e+00 1.767082e+02 1.422394e+00 1.764911e+02 7.102115e-01 1.767444e+02 3.802365e-01 1.767745e+02 1.980278e-01
1.778381e+02 1.407365e+00 1.778941e+02 1.449247e+00 1.776756e+02 7.149334e-01 1.779306e+02 3.828639e-01 1.779609e+02 1.993157e-01
1.790237e+02 1.415543e+00 1.790801e+02 1.476099e+00 1.788601e+02 7.196552e-01 1.791168e+02 3.854912e-01 1.791473e+02 2.006036e-01
1.802093e+02 1.423720e+00 1.802660e+02 1.502951e+00 1.800446e+02 7.243771e-01 1.803030e+02 3.881185e-01 1.803337e+02 2.018915e-01
1.813949e+02 1.431898e+00 1.814520e+02 1.529804e+00 1.812291e+02 7.290990e-01 1.814892e+02 3.907458e-01 1.815201e+02 2.031795e-01
1.825805e+02 1.440076e+00 1.826380e+02 1.556656e+00 1.824136e+02 7.338209e-01 1.826755e+02 3.933732e-01 1.827065e+02 2.044674e-01
1.837661e+02 1.448254e+00 1.838239e+02 1.583508e+00 1.835981e+02 7.385427e-01 1.838617e+02 3.960005e-01 1.838929e+02 2.057553e-01
1.849517e+02 1.455875e+00 1.850099e+02 1.619905e+00 1.847826e+02 7.432359e-01 1.850479e+02 3.986763e-01 1.850793e+02 2.070167e-01
1.861372e+02 1.463105e+00 1.861958e+02 1.663018e+00 1.859671e+02 7.479089e-01 1.862341e+02 4.013863e-01 1.862657e+02 2.082596e-01
