# Dipole autocorrelation data
# t0(ps) t(ps) C(t)
# Started at time 0.0 ps
0.000000 6.663000 1323.062858
0.000000 6.664000 1321.102989
0.000000 6.665000 1320.133625
0.000000 6.666000 1320.499291
0.000000 6.667000 1322.258477
0.000000 6.668000 1325.153952
0.000000 6.669000 1328.646233
0.000000 6.670000 1332.011604
0.000000 6.671000 1334.485225
0.000000 6.672000 1335.419301
0.000000 6.673000 1334.426389
0.000000 6.674000 1331.477756
0.000000 6.675000 1326.920157
0.000000 6.676000 1321.437173
0.000000 6.677000 1315.916559
0.000000 6.678000 1311.284907
0.000000 6.679000 1308.329411
0.000000 6.680000 1307.541912
0.000000 6.681000 1309.016075
0.000000 6.682000 1312.417106
0.000000 6.683000 1317.043496
0.000000 6.684000 1321.951460
0.000000 6.685000 1326.132267
0.000000 6.686000 1328.712284
0.000000 6.687000 1329.114809
0.000000 6.688000 1327.178317
0.000000 6.689000 1323.185139
0.000000 6.690000 1317.809819
0.000000 6.691000 1311.981640
0.000000 6.692000 1306.716752
0.000000 6.693000 1302.898466
0.000000 6.694000 1301.124960
0.000000 6.695000 1301.587372
0.000000 6.696000 1304.034722
0.000000 6.697000 1307.824200
0.000000 6.698000 1312.049573
0.000000 6.699000 1315.721175
0.000000 6.700000 1317.958240
0.000000 6.701000 1318.166049
0.000000 6.702000 1316.151560
0.000000 6.703000 1312.160082
0.000000 6.704000 1306.818578
0.000000 6.705000 1301.012897
0.000000 6.706000 1295.713171
0.000000 6.707000 1291.789881
0.000000 6.708000 1289.836706
0.000000 6.709000 1290.059266
0.000000 6.710000 1292.239978
0.000000 6.711000 1295.778311
0.000000 6.712000 1299.815479
0.000000 6.713000 1303.407405
0.000000 6.714000 1305.702819
0.000000 6.715000 1306.112277
0.000000 6.716000 1304.416866
0.000000 6.717000 1300.801865
0.000000 6.718000 1295.811456
0.000000 6.719000 1290.236678
0.000000 6.720000 1284.958798
0.000000 6.721000 1280.766385
0.000000 6.722000 1278.206696
0.000000 6.723000 1277.488621
0.000000 6.724000 1278.458071
0.000000 6.725000 1280.639017
0.000000 6.726000 1283.342669
0.000000 6.727000 1285.814974
0.000000 6.728000 1287.391801
0.000000 6.729000 1287.627710
0.000000 6.730000 1286.378168
0.000000 6.731000 1283.813807
0.000000 6.732000 1280.366808
0.000000 6.733000 1276.630355
0.000000 6.734000 1273.224217
0.000000 6.735000 1270.655356
0.000000 6.736000 1269.211508
0.000000 6.737000 1268.901915
0.000000 6.738000 1269.467382
0.000000 6.739000 1270.444541
0.000000 6.740000 1271.280539
0.000000 6.741000 1271.460980
0.000000 6.742000 1270.634456
0.000000 6.743000 1268.695633
0.000000 6.744000 1265.820230
0.000000 6.745000 1262.428726
0.000000 6.746000 1259.097558
0.000000 6.747000 1256.431495
0.000000 6.748000 1254.921906
0.000000 6.749000 1254.834461
0.000000 6.750000 1256.137057
0.000000 6.751000 1258.487944
0.000000 6.752000 1261.291679
0.000000 6.753000 1263.814104
0.000000 6.754000 1265.326945
0.000000 6.755000 1265.262456
0.000000 6.756000 1263.338987
0.000000 6.757000 1259.630337
0.000000 6.758000 1254.578332
0.000000 6.759000 1248.905160
0.000000 6.760000 1243.490981
0.000000 6.761000 1239.198148
0.000000 6.762000 1236.700821
0.000000 6.763000 1236.353379
0.000000 6.764000 1238.108128
0.000000 6.765000 1241.517295
0.000000 6.766000 1245.816024
0.000000 6.767000 1250.067698
0.000000 6.768000 1253.332389
0.000000 6.769000 1254.862753
0.000000 6.770000 1254.240429
0.000000 6.771000 1251.459457
0.000000 6.772000 1246.939122
0.000000 6.773000 1241.430430
0.000000 6.774000 1235.872420
0.000000 6.775000 1231.208038
0.000000 6.776000 1228.200943
0.000000 6.777000 1227.275529
0.000000 6.778000 1228.444807
0.000000 6.779000 1231.307787
0.000000 6.780000 1235.130226
0.000000 6.781000 1238.987405
0.000000 6.782000 1241.952617
0.000000 6.783000 1243.280794
0.000000 6.784000 1242.559214
0.000000 6.785000 1239.785636
0.000000 6.786000 1235.370856
0.000000 6.787000 1230.070905
0.000000 6.788000 1224.824181
0.000000 6.789000 1220.569881
0.000000 6.790000 1218.062700
0.000000 6.791000 1217.726984
0.000000 6.792000 1219.570898
0.000000 6.793000 1223.184080
0.000000 6.794000 1227.817322
0.000000 6.795000 1232.523754
0.000000 6.796000 1236.358487
0.000000 6.797000 1238.536528
0.000000 6.798000 1238.592334
0.000000 6.799000 1236.459866
0.000000 6.800000 1232.482212
0.000000 6.801000 1227.331248
0.000000 6.802000 1221.873762
0.000000 6.803000 1216.999345
0.000000 6.804000 1213.455222
0.000000 6.805000 1211.701368
0.000000 6.806000 1211.841417
0.000000 6.807000 1213.620458
0.000000 6.808000 1216.491976
0.000000 6.809000 1219.743656
0.000000 6.810000 1222.645848
0.000000 6.811000 1224.598227
0.000000 6.812000 1225.248919
0.000000 6.813000 1224.553657
0.000000 6.814000 1222.760321
0.000000 6.815000 1220.339176
0.000000 6.816000 1217.867937
0.000000 6.817000 1215.888914
0.000000 6.818000 1214.787970
0.000000 6.819000 1214.704380
0.000000 6.820000 1215.503748
0.000000 6.821000 1216.816525
0.000000 6.822000 1218.122448
0.000000 6.823000 1218.876838
0.000000 6.824000 1218.643073
0.000000 6.825000 1217.198715
0.000000 6.826000 1214.604079
0.000000 6.827000 1211.197207
0.000000 6.828000 1207.534933
0.000000 6.829000 1204.273410
0.000000 6.830000 1202.037808
0.000000 6.831000 1201.275421
0.000000 6.832000 1202.157465
0.000000 6.833000 1204.526408
0.000000 6.834000 1207.911703
0.000000 6.835000 1211.617324
0.000000 6.836000 1214.852357
0.000000 6.837000 1216.888924
0.000000 6.838000 1217.213028
0.000000 6.839000 1215.630582
0.000000 6.840000 1212.314188
0.000000 6.841000 1207.778128
0.000000 6.842000 1202.771862
0.000000 6.843000 1198.137540
0.000000 6.844000 1194.646081
0.000000 6.845000 1192.839600
0.000000 6.846000 1192.926989
0.000000 6.847000 1194.732295
0.000000 6.848000 1197.728056
0.000000 6.849000 1201.145290
0.000000 6.850000 1204.124214
0.000000 6.851000 1205.895423
0.000000 6.852000 1205.931726
0.000000 6.853000 1204.057763
0.000000 6.854000 1200.493308
0.000000 6.855000 1195.814658
0.000000 6.856000 1190.838131
0.000000 6.857000 1186.456050
0.000000 6.858000 1183.461625
0.000000 6.859000 1182.378189
0.000000 6.860000 1183.352761
0.000000 6.861000 1186.122160
0.000000 6.862000 1190.052928
0.000000 6.863000 1194.272127
0.000000 6.864000 1197.825469
0.000000 6.865000 1199.869494
0.000000 6.866000 1199.831122
0.000000 6.867000 1197.520681
0.000000 6.868000 1193.170195
0.000000 6.869000 1187.397449
0.000000 6.870000 1181.079502
0.000000 6.871000 1175.182642
0.000000 6.872000 1170.589302
0.000000 6.873000 1167.930620
0.000000 6.874000 1167.480821
0.000000 6.875000 1169.106615
0.000000 6.876000 1172.305197
0.000000 6.877000 1176.312030
0.000000 6.878000 1180.250604
0.000000 6.879000 1183.296170
0.000000 6.880000 1184.833203
0.000000 6.881000 1184.562756
0.000000 6.882000 1182.540618
0.000000 6.883000 1179.143578
0.000000 6.884000 1174.976915
0.000000 6.885000 1170.743849
0.000000 6.886000 1167.102973
0.000000 6.887000 1164.529264
0.000000 6.888000 1163.239113
0.000000 6.889000 1163.163363
0.000000 6.890000 1163.983462
0.000000 6.891000 1165.217317
0.000000 6.892000 1166.335828
0.000000 6.893000 1166.885221
0.000000 6.894000 1166.584677
0.000000 6.895000 1165.385290
0.000000 6.896000 1163.469181
0.000000 6.897000 1161.197344
0.000000 6.898000 1159.017373
0.000000 6.899000 1157.354188
0.000000 6.900000 1156.504435
0.000000 6.901000 1156.560868
0.000000 6.902000 1157.387522
0.000000 6.903000 1158.642882
0.000000 6.904000 1159.866074
0.000000 6.905000 1160.578506
0.000000 6.906000 1160.395711
0.000000 6.907000 1159.117912
0.000000 6.908000 1156.790353
0.000000 6.909000 1153.698057
0.000000 6.910000 1150.315209
0.000000 6.911000 1147.205357
0.000000 6.912000 1144.896121
0.000000 6.913000 1143.763894
0.000000 6.914000 1143.943574
0.000000 6.915000 1145.288150
0.000000 6.916000 1147.393178
0.000000 6.917000 1149.668429
0.000000 6.918000 1151.467432
0.000000 6.919000 1152.218729
0.000000 6.920000 1151.556507
0.000000 6.921000 1149.400099
0.000000 6.922000 1145.988993
0.000000 6.923000 1141.839750
0.000000 6.924000 1137.650391
0.000000 6.925000 1134.157241
0.000000 6.926000 1131.984144
0.000000 6.927000 1131.504418
0.000000 6.928000 1132.757326
0.000000 6.929000 1135.426940
0.000000 6.930000 1138.896711
0.000000 6.931000 1142.354176
0.000000 6.932000 1144.961644
0.000000 6.933000 1146.020167
0.000000 6.934000 1145.119210
0.000000 6.935000 1142.222213
0.000000 6.936000 1137.689590
0.000000 6.937000 1132.210517
0.000000 6.938000 1126.685629
0.000000 6.939000 1122.045049
0.000000 6.940000 1119.074400
0.000000 6.941000 1118.255146
0.000000 6.942000 1119.662639
0.000000 6.943000 1122.945935
0.000000 6.944000 1127.387412
0.000000 6.945000 1132.042919
0.000000 6.946000 1135.914754
0.000000 6.947000 1138.147539
0.000000 6.948000 1138.194273
0.000000 6.949000 1135.917604
0.000000 6.950000 1131.620607
0.000000 6.951000 1125.982083
0.000000 6.952000 1119.922840
0.000000 6.953000 1114.430900
0.000000 6.954000 1110.376384
0.000000 6.955000 1108.339455
0.000000 6.956000 1108.510829
0.000000 6.957000 1110.659252
0.000000 6.958000 1114.185617
0.000000 6.959000 1118.253172
0.000000 6.960000 1121.955295
0.000000 6.961000 1124.490167
0.000000 6.962000 1125.316840
0.000000 6.963000 1124.250295
0.000000 6.964000 1121.482817
0.000000 6.965000 1117.541478
0.000000 6.966000 1113.152625
0.000000 6.967000 1109.097115
0.000000 6.968000 1106.039300
0.000000 6.969000 1104.401069
0.000000 6.970000 1104.282382
0.000000 6.971000 1105.449595
0.000000 6.972000 1107.395445
0.000000 6.973000 1109.462531
0.000000 6.974000 1110.995539
0.000000 6.975000 1111.479303
0.000000 6.976000 1110.656062
0.000000 6.977000 1108.580709
0.000000 6.978000 1105.605418
0.000000 6.979000 1102.300273
0.000000 6.980000 1099.324827
0.000000 6.981000 1097.280151
0.000000 6.982000 1096.572406
0.000000 6.983000 1097.317937
0.000000 6.984000 1099.308075
0.000000 6.985000 1102.048544
0.000000 6.986000 1104.861217
0.000000 6.987000 1107.021638
0.000000 6.988000 1107.918802
0.000000 6.989000 1107.187674
0.000000 6.990000 1104.794454
0.000000 6.991000 1101.052508
0.000000 6.992000 1096.566813
0.000000 6.993000 1092.113285
0.000000 6.994000 1088.480628
0.000000 6.995000 1086.300778
0.000000 6.996000 1085.922053
0.000000 6.997000 1087.328875
0.000000 6.998000 1090.142851
0.000000 6.999000 1093.694754
0.000000 7.000000 1097.155297
0.000000 7.001000 1099.705868
0.000000 7.002000 1100.710266
0.000000 7.003000 1099.850538
0.000000 7.004000 1097.197103
0.000000 7.005000 1093.208992
0.000000 7.006000 1088.633495
0.000000 7.007000 1084.362577
0.000000 7.008000 1081.244808
0.000000 7.009000 1079.909397
0.000000 7.010000 1080.630201
0.000000 7.011000 1083.262763
0.000000 7.012000 1087.262853
0.000000 7.013000 1091.785322
0.000000 7.014000 1095.849640
0.000000 7.015000 1098.529321
0.000000 7.016000 1099.147500
0.000000 7.017000 1097.417632
0.000000 7.018000 1093.511587
0.000000 7.019000 1088.034690
0.000000 7.020000 1081.917394
0.000000 7.021000 1076.243937
0.000000 7.022000 1072.050460
0.000000 7.023000 1070.122335
0.000000 7.024000 1070.842568
0.000000 7.025000 1074.114045
