# Energy tracking
# Output period: 100 steps
# Max timesteps: 29421
# timestep time(ps) kinetic_energy cavity_energy lj_energy temperature total_energy
24500 17.924094 0.252307 0.004520 -0.717953 106.011126 -0.461126
24600 18.043102 0.247314 0.002174 -0.711819 103.913263 -0.462331
24700 18.159444 0.260399 0.003476 -0.715458 109.411334 -0.451583
24800 18.279560 0.261336 0.002910 -0.715231 109.805190 -0.450984
24900 18.399434 0.247184 0.003186 -0.714506 103.858757 -0.464137
25000 18.516514 0.240504 0.001742 -0.717275 101.052278 -0.475029
25100 18.628429 0.263396 0.002820 -0.714105 110.670445 -0.447889
25200 18.745466 0.254370 0.002083 -0.710717 106.878202 -0.454263
25300 18.864544 0.236762 0.004876 -0.708956 99.479872 -0.467317
25400 18.980345 0.272245 0.003305 -0.719746 114.388452 -0.444196
25500 19.100843 0.260684 0.004776 -0.713984 109.531071 -0.448524
25600 19.221153 0.267072 0.001333 -0.723870 112.214935 -0.455466
25700 19.339438 0.238482 0.004884 -0.710476 100.202690 -0.467109
25800 19.451153 0.254943 0.000138 -0.715431 107.118841 -0.460350
25900 19.567640 0.246991 0.002005 -0.704395 103.777707 -0.455399
26000 19.684849 0.254015 0.002269 -0.709735 106.728776 -0.453451
26100 19.801266 0.248004 0.002321 -0.710946 104.203211 -0.460621
26200 19.920209 0.235108 0.001892 -0.711581 98.784976 -0.474580
26300 20.035474 0.266658 0.002292 -0.710875 112.041329 -0.441925
26400 20.155845 0.251550 0.000471 -0.707542 105.693167 -0.455521
26500 20.275452 0.241601 0.002722 -0.709390 101.512830 -0.465067
26600 20.388653 0.234951 0.002872 -0.710916 98.718799 -0.473094
26700 20.506137 0.254316 0.004632 -0.708951 106.855628 -0.450002
26800 20.624601 0.258729 0.002193 -0.711047 108.709449 -0.450126
26900 20.748540 0.241133 0.005875 -0.710726 101.316564 -0.463717
27000 20.866612 0.266649 0.002502 -0.705922 112.037291 -0.436771
27100 20.988891 0.236677 0.002122 -0.716330 99.444217 -0.477531
27200 21.103829 0.246928 0.002580 -0.721267 103.751154 -0.471759
27300 21.221097 0.253013 0.000900 -0.710448 106.308151 -0.456534
27400 21.342414 0.245687 0.003435 -0.722191 103.229806 -0.473069
27500 21.458116 0.235897 0.002641 -0.724502 99.116292 -0.485964
27600 21.573359 0.245107 0.001706 -0.709780 102.986288 -0.462966
27700 21.695099 0.248979 0.003121 -0.719963 104.613026 -0.467863
27800 21.817702 0.244275 0.001683 -0.721249 102.636348 -0.475292
27900 21.937235 0.231557 0.007094 -0.707965 97.293032 -0.469314
28000 22.055706 0.259453 0.000331 -0.713714 109.013825 -0.453930
28100 22.176524 0.260506 0.003433 -0.715452 109.456240 -0.451513
28200 22.303253 0.250819 0.004541 -0.708746 105.385910 -0.453386
28300 22.426376 0.237401 0.002561 -0.721610 99.748176 -0.481648
28400 22.544445 0.246373 0.003527 -0.718225 103.518197 -0.468324
28500 22.666174 0.251349 0.004587 -0.713582 105.608913 -0.457646
28600 22.788912 0.231694 0.001701 -0.717236 97.350328 -0.483841
28700 22.905670 0.257400 0.000555 -0.711569 108.151371 -0.453614
28800 23.028889 0.248820 0.000947 -0.714609 104.546385 -0.464841
28900 23.148487 0.247278 0.000116 -0.723452 103.898099 -0.476059
29000 23.268829 0.236988 0.000538 -0.714680 99.574936 -0.477153
29100 23.386598 0.249710 0.001154 -0.701817 104.920337 -0.450952
29200 23.506661 0.253018 0.000200 -0.717584 106.309993 -0.464366
29300 23.627515 0.263540 0.001960 -0.714903 110.731278 -0.449402
29400 23.752375 0.225898 0.001710 -0.706400 94.914896 -0.478792
