# frequency_cm-1 spectrum_au
3.135493851810564436e+01 8.863876780446743000e+15
3.143832931203677461e+01 8.820865062108907000e+15
3.152172010596790841e+01 8.777318339421199000e+15
3.160511089989903866e+01 8.733261832956446000e+15
3.168850169383016890e+01 8.688721431064184000e+15
3.177189248776130626e+01 8.643723625535689000e+15
3.185528328169243650e+01 8.598295447011019000e+15
3.193867407562357030e+01 8.552464400090187000e+15
3.202206486955469700e+01 8.506258398295553000e+15
3.210545566348582724e+01 8.459705699338644000e+15
3.218884645741696460e+01 8.412834841057778000e+15
3.227223725134809484e+01 8.365674578031998000e+15
3.235562804527923220e+01 8.318253819137673000e+15
3.243901883921036244e+01 8.270601566586812000e+15
3.252240963314149269e+01 8.222746856152080000e+15
3.260580042707262294e+01 8.174718699335245000e+15
3.268919122100375318e+01 8.126546027119690000e+15
3.277258201493489054e+01 8.078257635926926000e+15
3.285597280886602078e+01 8.029882135615604000e+15
3.293936360279715103e+01 7.981447899804245000e+15
3.302275439672828838e+01 7.932983018559958000e+15
3.310614519065941863e+01 7.884515253595928000e+15
3.318953598459054888e+01 7.836071996008015000e+15
3.327292677852167913e+01 7.787680226629998000e+15
3.335631757245280937e+01 7.739366479140139000e+15
3.343970836638394672e+01 7.691156805631337000e+15
3.352309916031507697e+01 7.643076745194396000e+15
3.360648995424620722e+01 7.595151294948944000e+15
3.368988074817733747e+01 7.547404883833727000e+15
3.377327154210847482e+01 7.499861349156282000e+15
3.385666233603960507e+01 7.452543915562709000e+15
3.394005312997073531e+01 7.405475176736982000e+15
3.402344392390187267e+01 7.358677079538241000e+15
3.410683471783300291e+01 7.312170910551988000e+15
3.419022551176413316e+01 7.265977285024858000e+15
3.427361630569526341e+01 7.220116138052653000e+15
3.435700709962639365e+01 7.174606717960606000e+15
3.444039789355753101e+01 7.129467581831503000e+15
3.452378868748866125e+01 7.084716592819272000e+15
3.460717948141979150e+01 7.040370919617213000e+15
3.469057027535092175e+01 6.996447037451554000e+15
3.477396106928205910e+01 6.952960730978460000e+15
3.485735186321318935e+01 6.909927098490851000e+15
3.494074265714431959e+01 6.867360557855713000e+15
3.502413345107545695e+01 6.825274853585620000e+15
3.510752424500658719e+01 6.783683065169234000e+15
3.519091503893771744e+01 6.742597616770083000e+15
3.527430583286884769e+01 6.702030287578488000e+15
3.535769662679997793e+01 6.661992223480469000e+15
3.544108742073111529e+01 6.622493949250526000e+15
3.552447821466224553e+01 6.583545381713943000e+15
3.560786900859337578e+01 6.545155843354193000e+15
3.569125980252451313e+01 6.507334076694214000e+15
3.577465059645564338e+01 6.470088258942891000e+15
3.585804139038677363e+01 6.433426017149948000e+15
3.594143218431790388e+01 6.397354443667792000e+15
3.602482297824904123e+01 6.361880111833563000e+15
3.610821377218017147e+01 6.327009091807117000e+15
3.619160456611130172e+01 6.292746966500113000e+15
