# frequency_cm-1 spectrum_au
3.077120296058771842e+01 7.679856939097140000e+15
3.085459375451885222e+01 7.668963078276161000e+15
3.093798454844998602e+01 7.657340126009374000e+15
3.102137534238111627e+01 7.644991694897742000e+15
3.110476613631225007e+01 7.631922331703475000e+15
3.118815693024338032e+01 7.618137505887832000e+15
3.127154772417451056e+01 7.603643595760688000e+15
3.135493851810564436e+01 7.588447872299461000e+15
3.143832931203677461e+01 7.572558480744648000e+15
3.152172010596790841e+01 7.555984420030029000e+15
3.160511089989903866e+01 7.538735520190513000e+15
3.168850169383016890e+01 7.520822417746175000e+15
3.177189248776130626e+01 7.502256529312488000e+15
3.185528328169243650e+01 7.483050023433162000e+15
3.193867407562357030e+01 7.463215790793258000e+15
3.202206486955469700e+01 7.442767412995241000e+15
3.210545566348582724e+01 7.421719129940558000e+15
3.218884645741696460e+01 7.400085806088612000e+15
3.227223725134809484e+01 7.377882895574766000e+15
3.235562804527923220e+01 7.355126406469183000e+15
3.243901883921036244e+01 7.331832864225274000e+15
3.252240963314149269e+01 7.308019274535284000e+15
3.260580042707262294e+01 7.283703085742300000e+15
3.268919122100375318e+01 7.258902150855296000e+15
3.277258201493489054e+01 7.233634689408192000e+15
3.285597280886602078e+01 7.207919249266656000e+15
3.293936360279715103e+01 7.181774668584031000e+15
3.302275439672828838e+01 7.155220037845174000e+15
3.310614519065941863e+01 7.128274662388790000e+15
3.318953598459054888e+01 7.100958025299611000e+15
3.327292677852167913e+01 7.073289750938801000e+15
3.335631757245280937e+01 7.045289569119283000e+15
3.343970836638394672e+01 7.016977280100798000e+15
3.352309916031507697e+01 6.988372720435092000e+15
3.360648995424620722e+01 6.959495729783381000e+15
3.368988074817733747e+01 6.930366118799479000e+15
3.377327154210847482e+01 6.901003638068793000e+15
3.385666233603960507e+01 6.871427948280802000e+15
3.394005312997073531e+01 6.841658591582304000e+15
3.402344392390187267e+01 6.811714964231880000e+15
3.410683471783300291e+01 6.781616290543025000e+15
3.419022551176413316e+01 6.751381598180234000e+15
3.427361630569526341e+01 6.721029694832140000e+15
3.435700709962639365e+01 6.690579146247858000e+15
3.444039789355753101e+01 6.660048255648232000e+15
3.452378868748866125e+01 6.629455044616301000e+15
3.460717948141979150e+01 6.598817235243154000e+15
3.469057027535092175e+01 6.568152233805147000e+15
3.477396106928205910e+01 6.537477115701328000e+15
3.485735186321318935e+01 6.506808611802421000e+15
3.494074265714431959e+01 6.476163096109796000e+15
3.502413345107545695e+01 6.445556574709464000e+15
3.510752424500658719e+01 6.415004676019432000e+15
3.519091503893771744e+01 6.384522642248085000e+15
3.527430583286884769e+01 6.354125322071390000e+15
3.535769662679997793e+01 6.323827164442198000e+15
3.544108742073111529e+01 6.293642213557066000e+15
3.552447821466224553e+01 6.263584104852775000e+15
3.560786900859337578e+01 6.233666062043694000e+15
3.569125980252451313e+01 6.203900895134209000e+15
3.577465059645564338e+01 6.174300999388197000e+15
3.585804139038677363e+01 6.144878355121038000e+15
3.594143218431790388e+01 6.115644528379449000e+15
3.602482297824904123e+01 6.086610672389527000e+15
3.610821377218017147e+01 6.057787529712886000e+15
3.619160456611130172e+01 6.029185435114088000e+15
3.627499536004243197e+01 6.000814319045782000e+15
3.635838615397356222e+01 5.972683711770527000e+15
3.644177694790469957e+01 5.944802747948553000e+15
3.652516774183582982e+01 5.917180171770169000e+15
3.660855853576696006e+01 5.889824342537348000e+15
3.669194932969809031e+01 5.862743240659228000e+15
3.677534012362922766e+01 5.835944473987036000e+15
3.685873091756035791e+01 5.809435284501852000e+15
3.694212171149148816e+01 5.783222555288874000e+15
3.702551250542261840e+01 5.757312817734695000e+15
3.710890329935374865e+01 5.731712258988371000e+15
3.719229409328488600e+01 5.706426729549826000e+15
3.727568488721602336e+01 5.681461751036507000e+15
3.735907568114715360e+01 5.656822524074934000e+15
3.744246647507828385e+01 5.632513936266217000e+15
3.752585726900941410e+01 5.608540570191286000e+15
3.760924806294055145e+01 5.584906711482130000e+15
3.769263885687168170e+01 5.561616356917385000e+15
3.777602965080281194e+01 5.538673222427375000e+15
3.785942044473394219e+01 5.516080751170924000e+15
3.794281123866507244e+01 5.493842121447212000e+15
3.802620203259620979e+01 5.471960254635751000e+15
3.810959282652734004e+01 5.450437822971855000e+15
3.819298362045847028e+01 5.429277257248524000e+15
3.827637441438960053e+01 5.408480754391903000e+15
3.835976520832073078e+01 5.388050284898852000e+15
3.844315600225186813e+01 5.367987600124627000e+15
3.852654679618299838e+01 5.348294239411702000e+15
3.860993759011412862e+01 5.328971537090796000e+15
3.869332838404525887e+01 5.310020629220750000e+15
3.877671917797638912e+01 5.291442460210679000e+15
3.886010997190752647e+01 5.273237789254964000e+15
3.894350076583865672e+01 5.255407196490252000e+15
3.902689155976978697e+01 5.237951089078818000e+15
3.911028235370091721e+01 5.220869706929949000e+15
3.919367314763205457e+01 5.204163128331361000e+15
3.927706394156319192e+01 5.187831275305366000e+15
3.936045473549432216e+01 5.171873918768342000e+15
3.944384552942545241e+01 5.156290683434087000e+15
3.952723632335658266e+01 5.141081052555356000e+15
3.961062711728771291e+01 5.126244372363078000e+15
3.969401791121885026e+01 5.111779856353714000e+15
3.977740870514998051e+01 5.097686589308807000e+15
3.986079949908111075e+01 5.083963531101188000e+15
3.994419029301224100e+01 5.070609520272409000e+15
4.002758108694337835e+01 5.057623277390382000e+15
4.011097188087450860e+01 5.045003408188964000e+15
4.019436267480563885e+01 5.032748406470703000e+15
