# Energy tracking
# Output period: 100 steps
# Max timesteps: 29444
# timestep time(ps) kinetic_energy cavity_energy lj_energy temperature total_energy
26300 20.046458 0.274772 0.000382 -0.718929 115.450461 -0.443775
26400 20.169051 0.262327 0.000593 -0.716594 110.221359 -0.453674
26500 20.283616 0.245571 0.000461 -0.720655 103.180877 -0.474624
26600 20.392804 0.242384 0.000498 -0.716179 101.841926 -0.473298
26700 20.507720 0.280083 0.000359 -0.717360 117.681782 -0.436918
26800 20.625447 0.226122 0.000334 -0.723893 95.009410 -0.497437
26900 20.734129 0.259182 0.000296 -0.717986 108.900133 -0.458507
27000 20.853055 0.235515 0.000341 -0.718310 98.955793 -0.482455
27100 20.968925 0.282347 0.000217 -0.717638 118.633346 -0.435074
27200 21.088820 0.282222 0.000457 -0.724794 118.580573 -0.442116
27300 21.214633 0.245682 0.000255 -0.725869 103.227743 -0.479932
27400 21.331635 0.255182 0.000100 -0.706436 107.219510 -0.451153
27500 21.448326 0.232996 0.000117 -0.709524 97.897506 -0.476412
27600 21.563290 0.269110 0.000057 -0.721620 113.071425 -0.452453
27700 21.681256 0.219042 0.000481 -0.719361 92.034416 -0.499838
27800 21.790792 0.284493 0.000651 -0.718816 119.534903 -0.433672
27900 21.914280 0.224523 0.000532 -0.711488 94.337184 -0.486434
28000 22.022866 0.237608 0.000679 -0.713263 99.835289 -0.474976
28100 22.138739 0.267444 0.000683 -0.718789 112.371588 -0.450661
28200 22.256471 0.229655 0.000180 -0.715182 96.493825 -0.485347
28300 22.369932 0.243239 0.000528 -0.714968 102.201057 -0.471201
28400 22.487290 0.259903 0.000405 -0.721850 109.202927 -0.461542
28500 22.604337 0.262330 0.000143 -0.724542 110.222758 -0.462068
28600 22.724601 0.248335 0.000744 -0.723567 104.342584 -0.474487
28700 22.840236 0.276640 0.000869 -0.721683 116.235382 -0.444174
28800 22.959300 0.262433 0.000386 -0.712055 110.265899 -0.449237
28900 23.077220 0.230986 0.000073 -0.725660 97.052760 -0.494601
29000 23.187797 0.277994 0.001357 -0.714927 116.804010 -0.435577
29100 23.311326 0.226420 0.001138 -0.716595 95.134582 -0.489036
29200 23.421928 0.274904 0.000515 -0.707830 115.506048 -0.432411
29300 23.545330 0.231295 0.000647 -0.724394 97.182959 -0.492452
29400 23.656072 0.280011 0.000262 -0.726347 117.651624 -0.446075
